Id,Label,name,city,country,icao,latitude,longitude,altitude,timezone,dst,tz database time zone,type,source,weighted indegree,weighted outdegree,Weighted Degree,modularity_class,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,stat_inf_class,nodecolor-multimode,giantcomponent,pageranks,eigencentrality
7280,\N,Cabo San Lucas International Airport,Cabo San Lucas,Mexico,MMSL,22.947701,-109.936996,459,-7,A,America/Mazatlan,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2446,0.000039,0
7291,RNI,Corn Island,Corn Island,Nicaragua,MNCI,12.1629,-83.063797,1,-6,U,America/Managua,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2447,0.000039,0
7292,BZA,San Pedro Airport,Bonanza,Nicaragua,MNBZ,13.95,-84.599998,600,-6,U,America/Managua,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2448,0.000039,0
7293,RFS,Rosita Airport,Rosita,Nicaragua,MNRT,13.8897,-84.408897,193,-6,U,America/Managua,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2449,0.000039,0
7294,SIU,Siuna,Siuna,Nicaragua,MNSI,13.727222,-84.777779,606,-6,U,America/Managua,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2450,0.000039,0
7295,WSP,Waspam Airport,Waspam,Nicaragua,MNWP,14.7392,-83.969398,98,-6,U,America/Managua,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2451,0.000039,0
7296,NCR,San Carlos,San Carlos,Nicaragua,MNSC,11.1334,-84.769997,91,-6,U,America/Managua,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2452,0.000039,0
7297,PLD,Playa Samara/Carrillo Airport,Carrillo,Costa Rica,MRCR,9.87051,-85.4814,50,-6,U,America/Costa_Rica,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2453,0.000039,0
7301,COZ,Constanza - Expedici�n 14 de Junio National Airport,Constanza,Dominican Republic,MDCZ,18.907499,-70.721901,3950,-4,U,America/Santo_Domingo,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2454,0.000039,0
7302,NEG,Negril Airport,Negril,Jamaica,MKNG,18.3428,-78.3321,9,-5,U,America/Jamaica,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2455,0.000039,0
